,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
Long Term Debt,USMD,21049000.0,19983000.0,18675000.0,38167000.0,37706000.0,34736000.0,31029000.0,30993000.0,33138000.0,36173000.0,37395000.0,58981000.0,48211000.0,47342000.0,46041000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,USMD,6878000.0,5263000.0,10397000.0,12128000.0,13137000.0,10230000.0,16259000.0,26669000.0,15940000.0,18730000.0,15469000.0,26471000.0,29593000.0,26367000.0,19203000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,USMD,246116000.0,248889000.0,250172000.0,277899000.0,279123000.0,278561000.0,264282000.0,273828000.0,248648000.0,254764000.0,254683000.0,283018000.0,278550000.0,277870000.0,270218000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,USMD,76669000.0,78350000.0,79518000.0,104572000.0,103598000.0,105579000.0,96582000.0,107484000.0,103470000.0,112920000.0,113972000.0,144825000.0,127436000.0,128686000.0,124939000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,USMD,11225000.0,11482000.0,25593000.0,222524000.0,158935000.0,160792000.0,59611000.0,268402000.0,180226000.0,189111000.0,77432000.0,-152004000.0,76946000.0,81841000.0,84767000.0,81599000.0,81390000.0,81773000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,USMD,-5578000.0,-5339000.0,-16707000.0,-42130000.0,-42739000.0,-45211000.0,-47016000.0,-48232000.0,-57426000.0,-59424000.0,-65154000.0,-64387000.0,-66553000.0,-68401000.0,-71103000.0,-69044000.0,-68172000.0,-71703000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,USMD,-2322000.0,-2403000.0,-6758000.0,-12723000.0,-11820000.0,-12561000.0,-12443000.0,-13436000.0,-13683000.0,-23105000.0,-13980000.0,-14161000.0,-16005000.0,-16347000.0,-16829000.0,-17776000.0,-17621000.0,-17413000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,USMD,383000.0,570000.0,-360000.0,190553000.0,107581000.0,108333000.0,-436000.0,218680000.0,114331000.0,116916000.0,-1746000.0,-261901000.0,-4662000.0,-2109000.0,-3541000.0,8696000.0,-2636000.0,-4035000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,USMD,,,,,,,,,,,,,,122475674.5,213506431.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,USMD,,,,,,,,,,,,,,152493674.5,249334431.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,USMD,,,,,,,,,,,,,,1.25,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,USMD,19125000.0,19224000.0,49058000.0,277377000.0,213494000.0,218564000.0,119070000.0,330070000.0,251335000.0,271640000.0,156566000.0,-73456000.0,159504000.0,166589000.0,172699000.0,168419000.0,167183000.0,170889000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,USMD,,,,,,,,,,,,,,,,,0.91,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,USMD,4926003.06,5032003.8,5102001.8,5179003.15,7842002.87,9418003.4,6955001.91,4337001.16,2577002.08,2411001.93,2554002.42,2469002.23,8607001.63,9043001.8,8990002.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,USMD,3.41,4.96,-1.41,85.63,67.69,67.37,-0.73,81.47,63.44,61.82,-2.25,172.3,-6.06,-2.58,-4.18,10.66,-3.24,-4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,USMD,,,,112.46,63.08,63.48,-0.25,124.59,66.09,69.72,-1.05,-180.4,-3.29,-1.5,-2.56,5.75,-1.77,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,AOS,11.24,12.22,14.38,15.77,18.39,18.14,22.6,26.97,23.01,24.79,23.64,28.2,32.83,35.99,32.59,38.3,38.16,44.05,49.4,47.35,51.16,56.33,59.43,61.28,63.59,59.15,53.37,42.7,53.32,47.16,47.71,47.64,37.81,47.12,52.8,54.82,67.61,72.06,61.07,85.85,63.89,54.68,48.58,57.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,AOS,1098208944.0,158924564.0,158240620.0,158169208.0,158397004.0,158967572.0,158556844.0,155996522.0,156055530.0,154879940.0,153731700.0,152764168.0,152421290.0,152094704.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,151464376.0,161140367.0,161413232.0,161467766.0,26034457.0,25989387.0,25989387.0,159162102.0,157652567.0,157018566.0,155692240.0,155692240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,AOS,18600000.0,18600000.0,18600000.0,18600000.0,18600000.0,8600000.0,14400000.0,14200000.0,14000000.0,14200000.0,13800000.0,13700000.0,48600000.0,13400000.0,13100000.0,12900000.0,13200000.0,7400000.0,7300000.0,7200000.0,7200000.0,7400000.0,7500000.0,7500000.0,7400000.0,2700000.0,,,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,AOS,300600000.0,266000000.0,261000000.0,225100000.0,210500000.0,200700000.0,213400000.0,177700000.0,213000000.0,236200000.0,240700000.0,210100000.0,255300000.0,266200000.0,247700000.0,236100000.0,274100000.0,274600000.0,328900000.0,316400000.0,362200000.0,367700000.0,442200000.0,402900000.0,285800000.0,245400000.0,193300000.0,221400000.0,277600000.0,351800000.0,312400000.0,277200000.0,335600000.0,274300000.0,107100000.0,106400000.0,99600000.0,99600000.0,99600000.0,189900000.0,288600000.0,291600000.0,281000000.0,334500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,AOS,367200000.0,259600000.0,279600000.0,266900000.0,306900000.0,366100000.0,374100000.0,380700000.0,369800000.0,393700000.0,400500000.0,319400000.0,284100000.0,248100000.0,282900000.0,323600000.0,305500000.0,287400000.0,269300000.0,330400000.0,293400000.0,306600000.0,321900000.0,346600000.0,241900000.0,260000000.0,233000000.0,259700000.0,337800000.0,281600000.0,219400000.0,374000000.0,416100000.0,442700000.0,377900000.0,573100000.0,578500000.0,444800000.0,486100000.0,443300000.0,405800000.0,359400000.0,358800000.0,391200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,AOS,2250200000.0,2191600000.0,2235300000.0,2278800000.0,2267100000.0,2295200000.0,2348900000.0,2391500000.0,2381200000.0,2430700000.0,2486800000.0,2515300000.0,2565300000.0,2589800000.0,2600200000.0,2629200000.0,2650600000.0,2672200000.0,2824400000.0,2891000000.0,2940200000.0,2984000000.0,3104600000.0,3197400000.0,3106900000.0,3085300000.0,3025200000.0,3071500000.0,3143500000.0,3175600000.0,3067900000.0,3058000000.0,2983000000.0,2984200000.0,2971100000.0,3160700000.0,3106800000.0,3140200000.0,3300000000.0,3474400000.0,3434900000.0,3321400000.0,3231900000.0,3332300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,AOS,1109500000.0,1033800000.0,1043900000.0,1084700000.0,1031400000.0,1038700000.0,1096300000.0,1062800000.0,1037800000.0,1074000000.0,1111600000.0,1134000000.0,1160200000.0,1153300000.0,1177800000.0,1186900000.0,1172100000.0,1191500000.0,1298800000.0,1375700000.0,1373800000.0,1370300000.0,1438700000.0,1552500000.0,1398500000.0,1355000000.0,1269000000.0,1354500000.0,1394300000.0,1450500000.0,1411700000.0,1391199999.0,1366700000.0,1326100000.0,1224000000.0,1312400000.0,1257800000.0,1323900000.0,1403500000.0,1642200000.0,1626000000.0,1528899998.0,1484100000.0,1584600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,AOS,468600000.0,484200000.0,462200000.0,524300000.0,509600000.0,549100000.0,536200000.0,558900000.0,552200000.0,595400000.0,581600000.0,626800000.0,618500000.0,653500000.0,625100000.0,639400000.0,636900000.0,667000000.0,683900000.0,698100000.0,740000000.0,738200000.0,749900000.0,768600000.0,788000000.0,833300000.0,754100000.0,812500000.0,748200000.0,765400000.0,728200000.0,750900000.0,636900000.0,663900000.0,760000000.0,834500000.0,769000000.0,859800000.0,914600000.0,995500000.0,977700000.0,965900000.0,874200000.0,936100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,AOS,-319500000.0,-323700000.0,-305400000.0,-338700000.0,-330300000.0,-351100000.0,-339600000.0,-359000000.0,-356300000.0,-379200000.0,-366300000.0,-394900000.0,-389300000.0,-391100000.0,-369500000.0,-376800000.0,-374200000.0,-383300000.0,-400600000.0,-408500000.0,-439100000.0,-434000000.0,-444900000.0,-440000000.0,-466500000.0,-492300000.0,-448100000.0,-475500000.0,-455400000.0,-456700000.0,-444000000.0,-455900000.0,-397400000.0,-416400000.0,-462900000.0,-510400000.0,-480400000.0,-538400000.0,-574300000.0,-634900000.0,-636100000.0,-631500000.0,-569200000.0,-587500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,AOS,-105300000.0,-108900000.0,-111500000.0,-124800000.0,-120000000.0,-131600000.0,-133700000.0,-139200000.0,-130900000.0,-137400000.0,-145500000.0,-158300000.0,-147200000.0,-159400000.0,-149000000.0,-155100000.0,-159400000.0,-160000000.0,-164700000.0,-174800000.0,-183200000.0,-178300000.0,-176800000.0,-179900000.0,-192900000.0,-197200000.0,-177600000.0,-186100000.0,-184700000.0,-178700000.0,-172300000.0,-179900000.0,-173800000.0,-155900000.0,-159400000.0,-171200000.0,-166500000.0,-173100000.0,-177600000.0,-184200000.0,-179800000.0,-166700000.0,-155500000.0,-168900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,AOS,47500000.0,35000000.0,36900000.0,39300000.0,39000000.0,42100000.0,46200000.0,42400000.0,46700000.0,57300000.0,50600000.0,53200000.0,58400000.0,71100000.0,73600000.0,79800000.0,73500000.0,87100000.0,83200000.0,82700000.0,87700000.0,92400000.0,93700000.0,22700000.0,98800000.0,114500000.0,104600000.0,126300000.0,89300000.0,102100000.0,87300000.0,91300000.0,51700000.0,67799999.0,105400002.0,119999999.0,97700000.0,118200000.0,131600000.0,139600000.0,119800000.0,126200000.0,109800000.0,-120100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,AOS,12343868530.56,1942058172.08,2275500115.6,2494328410.16,2912920903.56,2883671756.08,3583384674.4,4207226198.34,3590837745.3,3839473712.6,3634217388.0,4307949537.6,5003990950.7,5473888396.96,4936224013.84,5801085600.8,5779880588.16,6672005762.8,7482340174.4,7171838203.6,7748917476.16,8531988300.08,9001527865.68,9281736961.28,9631619669.84,8959117840.4,8083653747.12,6467528855.2,8076080528.32,7143059972.16,7226365378.96,7215762872.64,5726868056.56,7592934093.04,8522618649.6,8851662932.12,1760189637.77,1872795227.22,1587171864.09,13664066456.7,10072422505.63,8585775188.88,7563529019.2,8911823817.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,AOS,12295868530.56,1967058172.08,2275500115.6,2471128410.16,2835120903.56,2726871756.08,3437084674.4,4018426198.34,3448037745.3,3696173712.6,3488217388.0,4212349537.6,5023790950.7,5505388396.96,4914124013.84,5726485600.8,5761680588.16,6666605762.8,7549240174.4,7165038203.6,7824917476.16,8600488300.08,9129327865.68,9345536961.28,9682919669.84,8947217840.4,,,8022680528.32,7220059972.16,7326165378.96,7125762872.64,5653168056.56,7431334093.04,8258618649.6,8391762932.12,1288089637.77,1534395227.22,1207471864.09,13417466456.7,9962022505.63,8524775188.88,7492529019.2,8865123817.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,AOS,1.0,1.01,1.0,0.99,0.97,0.95,0.96,0.96,0.96,0.96,0.96,0.98,1.0,1.01,1.0,0.99,1.0,1.0,1.01,1.0,1.01,1.01,1.01,1.01,1.01,1.0,,,0.99,1.01,1.01,0.99,0.99,0.98,0.97,0.95,0.73,0.82,0.76,0.98,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,AOS,893400000.0,916800000.0,879100000.0,987800000.0,959900000.0,1031800000.0,1009500000.0,1057100000.0,1039400000.0,1112000000.0,1093400000.0,1180000000.0,1155000000.0,1204000000.0,1143600000.0,1171300000.0,1170500000.0,1210300000.0,1249200000.0,1281400000.0,1362300000.0,1350500000.0,1371600000.0,1388500000.0,1447400000.0,1522800000.0,1379800000.0,1474100000.0,1388300000.0,1400800000.0,1344500000.0,1386700000.0,1208100000.0,1236200000.0,1382300000.0,1516100000.0,1415900000.0,1571300000.0,1666500000.0,1814600000.0,1793600000.0,1764100000.0,1598900000.0,1692500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,AOS,13.76,2.15,2.59,2.5,2.95,2.64,3.4,3.8,3.32,3.32,3.19,3.57,4.35,4.57,4.3,4.89,4.92,5.51,6.04,5.59,5.74,6.37,6.66,6.73,6.69,5.88,,,5.78,5.15,5.45,5.14,4.68,6.01,5.97,5.54,0.91,0.98,0.72,7.39,5.55,4.83,4.69,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,AOS,18600000.82,18600001.02,18600000.93,18600000.84,18600000.69,8600000.55,14400000.57,14200000.47,14000000.58,14200000.6,13800000.6,13700000.66,48600000.9,13400001.07,13100000.88,12900000.73,13200000.9,7400000.96,7300001.22,7200000.96,7200001.23,7400001.2,7500001.37,7500001.16,7400001.18,2700000.94,,,6800000.82,6800001.25,6800001.42,6800000.74,6800000.81,6800000.62,6800000.28,6800000.19,6800000.17,6800000.22,6800000.2,6800000.43,6800000.71,6800000.81,6800000.78,10000000.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,AOS,10.14,7.23,7.98,7.5,7.65,7.67,8.62,7.59,8.46,9.62,8.7,8.49,9.44,10.88,11.77,12.48,11.54,13.06,12.17,11.85,11.85,12.52,12.49,2.95,12.54,13.74,13.87,15.54,11.94,13.34,11.99,12.16,8.12,10.21,13.87,14.38,12.7,13.75,14.39,14.02,12.25,13.07,12.56,-12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,AOS,4.16,3.02,3.1,3.29,3.16,3.35,3.69,3.19,3.48,4.22,3.68,3.85,4.16,4.95,5.17,5.53,4.97,5.88,5.45,5.46,5.6,5.73,5.62,1.38,5.78,6.62,5.96,7.36,5.11,5.92,5.27,5.48,3.2,4.09,6.03,6.49,5.28,6.51,6.94,7.62,6.62,7.04,6.28,-6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,ES,37.12,38.81,38.23,39.08,43.46,42.02,41.25,42.39,45.5,47.27,44.3,53.52,50.52,45.41,50.62,51.07,58.34,59.9,54.18,55.23,58.78,60.71,60.44,63.18,58.92,58.61,61.44,65.04,70.95,75.76,85.47,85.07,78.21,83.27,83.55,86.51,86.59,80.24,81.76,90.98,88.19,84.47,77.96,83.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,ES,176349762.0,313604078.0,313804466.0,314053634.0,314053634.0,314621345.0,314751609.0,315434940.0,315817718.0,316219354.0,316622631.0,317203765.0,317468999.0,317161942.0,317191249.0,317191249.0,317207036.0,317207036.0,317207036.0,316885808.0,316885808.0,316885808.0,316885808.0,316885808.0,316885808.0,316885808.0,316885808.0,322921013.0,316981088.0,317461097.0,329768628.0,335915850.0,342446392.0,348663067.0,348832678.0,348989228.0,349469503.0,343466162.0,343466162.0,344023846.0,344344986.0,345893714.0,345893714.0,345893714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,ES,267286000.0,683208000.0,879746000.0,763338000.0,947328000.0,888346000.0,608346000.0,533346000.0,530533000.0,395583000.0,245583000.0,245583000.0,245583000.0,278883000.0,228883000.0,228883000.0,378883000.0,178883000.0,373883000.0,773883000.0,773883000.0,1483883000.0,957697000.0,549631000.0,1097288000.0,387296000.0,387310000.0,837319000.0,805519000.0,779289000.0,853066000.0,1216495000.0,532440000.0,700960000.0,1078186000.0,2302511000.0,3083635000.0,2802358000.0,1509880000.0,2698547000.0,2485914000.0,1364263000.0,2011968000.0,2762329000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,ES,5071488000.0,7096606000.0,6833883000.0,7282295000.0,7031171000.0,7651396000.0,7444192000.0,7776833000.0,8318332000.0,8147129000.0,8166985000.0,8568429000.0,8602067000.0,8689647000.0,8757498000.0,8805574000.0,9144687000.0,9435924000.0,9235128000.0,8829354000.0,9267891000.0,8899021000.0,10468193000.0,11775889000.0,12015992000.0,12009264000.0,12151536000.0,12248743000.0,12284330000.0,13039180000.0,13440165000.0,13770828000.0,13898581000.0,13697762000.0,14736310000.0,15622788000.0,14782672000.0,15851362000.0,17874002000.0,17477279000.0,18344559000.0,20015867000.0,20242459000.0,20134486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,ES,283379000.0,28483000.0,73449000.0,45748000.0,60817000.0,36055000.0,57941000.0,43364000.0,89150000.0,34096000.0,41706000.0,38703000.0,71027000.0,36469000.0,35781000.0,23947000.0,50966000.0,38726000.0,40056000.0,30251000.0,45763000.0,24638000.0,125761000.0,38165000.0,303810000.0,64154000.0,59092000.0,108068000.0,35145000.0,20578000.0,22688000.0,15432000.0,47425000.0,64890000.0,729993000.0,106599000.0,34112000.0,217397000.0,88204000.0,66773000.0,46175000.0,29540000.0,485716000.0,374603000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,ES,15978354000.0,27506300000.0,27757562000.0,28302824000.0,28328661000.0,28196892000.0,28444318000.0,27795537000.0,28096870000.0,27790445000.0,27982311000.0,29740387000.0,29951765000.0,29879939000.0,30046026000.0,30580309000.0,30712475000.0,30882663000.0,31082337000.0,32053173000.0,32355176000.0,32658840000.0,33163620000.0,36220386000.0,37039983000.0,37244344000.0,37515669000.0,38241256000.0,38941007000.0,38995906000.0,39725394000.0,41123915000.0,41648986000.0,42038718000.0,43507345000.0,46099598000.0,46518215000.0,47234640000.0,48014055000.0,48492144000.0,49289152000.0,49916240000.0,51599425000.0,53230900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,ES,11790494000.0,18283093000.0,18425128000.0,18910206000.0,18827862000.0,18634712000.0,18771297000.0,18028441000.0,18217369000.0,17881070000.0,17936191000.0,19608004000.0,19685792000.0,19539318000.0,19596028000.0,20072526000.0,20118408000.0,20217687000.0,20289385000.0,21185871000.0,21395412000.0,21617749000.0,22010015000.0,24978574000.0,25700699000.0,25815551000.0,25951321000.0,26598869000.0,27148003000.0,26885743000.0,27448210000.0,28338351000.0,28283460000.0,28077890000.0,29371758000.0,31880462000.0,32129225000.0,32767181000.0,33446874000.0,33736730000.0,34296892000.0,34703455000.0,36164682000.0,37602172000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,ES,1099623000.0,1628684000.0,1861528000.0,1683952000.0,1995023000.0,1635862000.0,1892590000.0,1777729000.0,2290590000.0,1677614000.0,1892532000.0,1881120000.0,2513431000.0,1817060000.0,1933106000.0,1691230000.0,2055635000.0,1767184000.0,2039706000.0,1776604000.0,2105135000.0,1762811000.0,1988512000.0,1895494000.0,2287962000.0,1853856000.0,2271425000.0,2034958000.0,2415792000.0,1884495000.0,2175797000.0,2050386000.0,2373726000.0,1953128000.0,2343643000.0,2233933000.0,2825840000.0,2122538000.0,2432794000.0,2481913000.0,3471310000.0,2572641000.0,3215645000.0,3029740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,ES,-395344000.0,-542014000.0,-602752000.0,-544254000.0,-747809000.0,-488302000.0,-645881000.0,-600962000.0,-978150000.0,-624212000.0,-716631000.0,-702557000.0,-1162049000.0,-685118000.0,-702640000.0,-537098000.0,-754859000.0,-581260000.0,-665810000.0,-498899000.0,-753649000.0,-549704000.0,-651776000.0,-580142000.0,-946747000.0,-653915000.0,-842291000.0,-696016000.0,-974882000.0,-620904000.0,-730255000.0,-714119000.0,-876570000.0,-630133000.0,-806254000.0,,-998491000.0,-650087000.0,-880639000.0,,-1389696000.0,-940541000.0,-1388041000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,ES,-447187000.0,-828076000.0,-703709000.0,-699334000.0,-668449000.0,-648268000.0,-671305000.0,-692552000.0,-648028000.0,-660243000.0,-638830000.0,-656525000.0,-646700000.0,-619244000.0,-645972000.0,-673802000.0,-654068000.0,-651551000.0,-670965000.0,-715088000.0,-680334000.0,-656307000.0,-670433000.0,-750537000.0,-719248000.0,-670429000.0,-740436000.0,-1006809000.0,-735133000.0,-838083000.0,-799472000.0,-782118000.0,-809643000.0,-773986000.0,-831111000.0,-3965196000.0,-1053718000.0,-891891000.0,-925028000.0,-4406352000.0,-1219075000.0,-1039853000.0,-1107766000.0,-6066437000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,ES,99262000.0,44339000.0,207628000.0,174716000.0,228089000.0,171021000.0,209500000.0,177397000.0,235957000.0,127367000.0,234613000.0,221609000.0,253254000.0,207507000.0,235919000.0,181805000.0,244153000.0,203650000.0,265320000.0,229179000.0,259458000.0,230749000.0,260370000.0,237419000.0,269546000.0,242767000.0,289380000.0,231307000.0,308678000.0,31454000.0,318884000.0,250037000.0,334753000.0,252231000.0,346260000.0,271923000.0,366143000.0,264520000.0,283166000.0,306698000.0,443446000.0,291863000.0,349409000.0,320157000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,ES,6546103165.44,12170974267.18,11996744735.18,12273216016.72,13648770933.64,13220388916.9,12983503871.25,13371287106.6,14369706169.0,14947688863.58,14026382553.3,16976745502.8,16038533829.48,14402323786.22,16056221024.38,16198957086.43,18505858480.24,19000701456.4,17186277210.48,17501603175.84,18626547794.24,19238137403.68,19152578235.52,20020845349.44,18670911807.36,18572677206.88,19469464043.52,21002782685.52,22489808193.6,24050852708.72,28185324635.16,28576361359.5,26782732318.32,29033173589.09,29144970246.9,30191058114.28,30260564264.77,27559724838.88,28081793405.12,31299289509.08,30367784315.34,29217642021.58,26965873943.44,28999728981.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,ES,11601498165.44,19922305267.18,19636924735.18,20273101016.72,21566452933.64,21724075916.9,20978100871.25,21638102106.6,23129421169.0,23456304863.58,22397244553.3,25752054502.8,24815156829.48,23334384786.22,25006821024.38,25209467086.43,27978462480.24,28576782456.4,26755232210.48,27074589175.84,28622558794.24,29596403403.68,30452707235.52,32308200349.44,31480381807.36,30905083206.88,31949218043.52,33980776685.52,35544512193.6,37848743708.72,42455867635.16,43548252359.5,41166328318.32,43367005589.09,44229473246.9,48009758114.28,48092759264.77,45996047838.88,47377471405.12,51408342509.08,51152082315.34,50568232021.58,48734584943.44,51521940981.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,ES,1.77,1.64,1.64,1.65,1.58,1.64,1.62,1.62,1.61,1.57,1.6,1.52,1.55,1.62,1.56,1.56,1.51,1.5,1.56,1.55,1.54,1.54,1.59,1.61,1.69,1.66,1.64,1.62,1.58,1.57,1.51,1.52,1.54,1.49,1.52,1.59,1.59,1.67,1.69,1.64,1.68,1.73,1.81,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
